Corr	Sim	NN
16.09	18.60	18.41
112.30	151.64	156.28
23.82	17.49	16.85
12.04	8.61	9.15
24.75	16.23	16.70
27.40	24.24	26.23
5.49	4.11	4.22
60.59	40.73	42.04
64.48	50.11	50.01
51.60	55.33	56.39
11.12	8.10	8.28
7.05	6.83	6.81
10.83	9.17	9.37
46.79	42.66	43.98
16.10	11.63	11.61
23.83	18.47	18.29
4.45	3.50	3.55
76.56	112.74	116.95
14.34	11.77	11.75
5.48	4.34	4.29
19.99	19.47	20.43
5.94	4.59	4.41
32.13	21.80	22.62
62.76	44.01	45.04
26.27	26.47	26.73
35.14	36.69	36.34
12.80	13.86	13.93
64.30	46.22	47.55
31.58	24.65	24.91
12.01	8.14	8.42
6.32	4.96	5.23
17.78	15.62	15.57
89.12	54.79	60.23
28.59	26.03	26.26
11.33	9.92	10.01
5.54	4.56	4.81
6.41	5.56	5.60
5.94	4.53	4.32
16.58	11.49	11.98
21.23	16.25	16.52
39.56	26.83	25.99
9.07	6.92	7.36
18.16	19.16	19.73
17.64	15.36	17.20
137.78	132.54	131.64
33.68	27.44	28.94
48.80	40.94	40.03
12.40	10.03	10.27
6.20	4.39	4.60
26.76	31.38	31.99
4.47	3.54	3.84
15.73	13.17	12.85
5.17	4.71	4.49
9.42	6.97	6.89
11.28	9.49	9.40
92.26	65.71	65.39
30.97	21.67	21.30
23.91	16.17	16.67
5.17	4.89	4.89
23.79	31.48	31.71
5.11	3.60	3.96
14.07	10.88	10.72
14.68	19.00	18.86
16.11	10.90	11.14
24.90	18.56	17.72
3.88	2.89	3.22
4.93	3.53	3.52
11.60	8.84	9.04
4.66	3.45	3.72
18.68	29.98	30.05
64.48	44.99	46.33
32.24	24.35	23.79
18.99	16.97	17.97
29.13	29.57	30.35
16.47	15.16	15.63
8.94	8.75	8.90
3.98	2.93	3.03
151.24	224.86	224.54
12.61	12.05	11.93
65.18	43.90	48.49
13.03	9.89	9.86
9.37	8.75	8.91
24.09	22.55	23.12
4.64	3.35	3.56
10.56	7.25	7.85
13.58	9.66	9.85
21.92	15.26	15.71
14.41	10.73	10.81
77.39	80.64	80.05
9.73	7.62	7.75
7.65	6.16	6.31
5.01	3.44	3.28
40.36	50.90	51.35
5.21	4.09	4.19
31.03	21.55	22.07
9.90	8.56	8.80
19.30	13.88	14.16
7.68	6.00	6.03
19.15	19.37	20.37
17.61	14.37	14.42
22.66	15.35	14.62
21.71	23.06	22.89
5.12	3.77	3.65
28.59	28.04	27.43
